Food,Ingredient,Origin
Thousand_Island_dressing,Egg_(food),Canada
Thousand_Island_dressing,Mustard_(condiment),Canada
Thousand_Island_dressing,Lemon,Canada
Thousand_Island_dressing,Tomato_purée,Canada
Youtiao,Dough,China
Bosna_(sausage),Curry_powder,Austria
Bosna_(sausage),White_bread,Austria
Bosna_(sausage),Onion,Austria
Bosna_(sausage),Tomato,Austria
Bosna_(sausage),Mustard_(condiment),Austria
Bosna_(sausage),Bratwurst,Austria
Crumpet,Flour,England
Crumpet,Bakers_yeast,England
White_pudding,Pork,Scotland
Harira,Flour,Algeria
Harira,Chicken,Algeria
Harira,Meat,Algeria
Harira,Olive_oil,Algeria
Harira,Rice,Algeria
Harira,Chickpea,Algeria
Harira,Lentil,Algeria
Harira,Onion,Algeria
Harira,Tomato,Algeria
Harira,Lamb_and_mutton,Algeria
Cellophane_noodles,Canna_(plant),China
Cellophane_noodles,Cassava,China
Cellophane_noodles,Starch,China
Cellophane_noodles,Yam_(vegetable),China
Cellophane_noodles,Potato_starch,China
Kheer,Cardamom,Bangladesh
Kheer,Milk,Bangladesh
Kheer,Rice,Bangladesh
Kheer,Almond,Bangladesh
Kheer,Pistachio,Bangladesh
Kheer,Saffron,Bangladesh
Chocolate_crackles,Desiccation,Australia
Chocolate_crackles,Rice_Krispies,Australia
Cremeschnitte,Custard,Austria
Cremeschnitte,Puff_pastry,Austria
Cremeschnitte,Vanilla,Austria
Lo_mai_gai,Shiitake,China
Lo_mai_gai,Scallion,China
Lo_mai_gai,Chinese_sausage,China
Lo_mai_gai,Shrimp,China
Rice_vermicelli,Rice,China
Rousong,Pork,China
Chorley_cake,Shortcrust_pastry,England
Chorley_cake,Raisin,England
Couscous,Semolina,Algeria
French_fries,Potato,Belgium
French_fries,Cooking_oil,Belgium
Ulmyeon,Noodle,China
Ulmyeon,Agaricus_bisporus,China
Ulmyeon,Corn_starch,China
Ulmyeon,Shrimp,China
Ulmyeon,Seafood,China
Ulmyeon,Squid,China
Ulmyeon,Carrot,China
Ulmyeon,Broth,China
Ulmyeon,Egg_(food),China
Ulmyeon,Vegetable,China
Ulmyeon,Cuttlefish,China
Apple_strudel,Butter,Austria
Apple_strudel,Flour,Austria
Apple_strudel,Oil,Austria
Apple_strudel,Apple,Austria
Haleem,Meat,Bangladesh
Haleem,Wheat,Bangladesh
Haleem,Barley,Bangladesh
Haleem,Lentil,Bangladesh
Popiah,Turnip,China
Popiah,Chinese_sausage,China
Popiah,Carrot,China
Popiah,Lettuce,China
Popiah,Bean_sprout,China
Popiah,Egg_(food),China
Popiah,Green_bean,China
Popiah,Pachyrhizus_erosus,China
Popiah,Tofu,China
Quindim,Coconut,Brazil
Quindim,Sugar,Brazil
Quindim,Yolk,Brazil
Wonton,Scallion,China
Wonton,Dough,China
Black_sesame_roll,Sesame,China
Gosh-e_Fil,Pistachio,Afghanistan
Gosh-e_Fil,Powdered_sugar,Afghanistan
Muktagachar_monda,Condensed_milk,Bangladesh
Muktagachar_monda,Jaggery,Bangladesh
Pantruca,Flour,Chile
Pantruca,Water,Chile
Pantruca,Oil,Chile
Pitha,Rice_flour,Bangladesh
Pitha,Wheat_flour,Bangladesh
Chinese_sausage,Pork,China
Montreal-style_smoked_meat,Rye_bread,Canada
Montreal-style_smoked_meat,Smoked_meat,Canada
Montreal-style_smoked_meat,Mustard_(condiment),Canada
Rappie_pie,Meat,Canada
Rappie_pie,Seafood,Canada
Rappie_pie,Onion,Canada
Rappie_pie,Potato,Canada
Rappie_pie,Pork,Canada
Rappie_pie,Broth,Canada
Tenshindon,Rice,China
Tenshindon,Egg_(food),China
Tenshindon,Crab_meat,China
Steak_frites,Potato,Belgium
Steak_frites,Steak,Belgium
Panta_bhat,Rice,Bangladesh
Panta_bhat,Water,Bangladesh
Sher_Berinj,Rose_water,Afghanistan
Sher_Berinj,Almond,Afghanistan
Sher_Berinj,Pistachio,Afghanistan
Carbonade_flamande,Bay_leaf,Belgium
Carbonade_flamande,Beer,Belgium
Carbonade_flamande,Beef,Belgium
Carbonade_flamande,Thyme,Belgium
Carbonade_flamande,Onion,Belgium
Mont_di,Daggertooth_pike_conger,Burma
Mont_di,Cymbopogon,Burma
Mont_di,Ngapi,Burma
Flipper_pie,Harp_seal,Canada
Kabuni,Butter,Albania
Kabuni,Cinnamon,Albania
Kabuni,Rice,Albania
Kabuni,Sugar,Albania
Kabuni,Raisin,Albania
Kabuni,Endgame_(play),Albania
Quibeibe,Cucurbita,Brazil
Empire_biscuit,Icing_(food),Scotland
Empire_biscuit,Fruit_preserves,Scotland
Empire_biscuit,Candied_fruit,Scotland
Hainanese_chicken_rice,Chicken,China
Kopytka,Bacon,Belarus
Kopytka,Flour,Belarus
Kopytka,Cheese,Belarus
Kopytka,Onion,Belarus
Kopytka,Potato,Belarus
Tomato_and_egg_soup,Scallion,China
Tomato_and_egg_soup,Tomato,China
Tomato_and_egg_soup,Egg_(food),China
Chacarero,Bread,Chile
Coconut_doughnut,Coconut,Canada
Coconut_doughnut,Doughnut,Canada
Linzer_torte,Butter,Austria
Linzer_torte,Cinnamon,Austria
Linzer_torte,Flour,Austria
Linzer_torte,Redcurrant,Austria
Linzer_torte,Nut_(fruit),Austria
Linzer_torte,Walnut,Austria
Linzer_torte,Zest_(ingredient),Austria
Linzer_torte,Almond,Austria
Linzer_torte,Yolk,Austria
Lou_mei,Offal,China
Banana_roll,Glutinous_rice,China
Jiaozi,Ground_meat,China
Jiaozi,Dough,China
Jiaozi,Vegetable,China
Leblebi,Chickpea,Algeria
Rou_jia_mo,Pork,China
Sabaayad,Flour,Somalia
Sabaayad,Water,Somalia
Sabaayad,Salt,Somalia
Zhaliang,Youtiao,China
Zhaliang,Rice_noodle_roll,China
Khow_suey,Curry,Burma
Khow_suey,Coconut_milk,Burma
Maple_leaf_cream_cookies,Maple_syrup,Canada
Paila_marina,Shellfish,Chile
Paila_marina,Seafood,Chile
Paila_marina,Spice,Chile
Paila_marina,Fish_as_food,Chile
Paila_marina,Herb,Chile
Black_bun,Cinnamon,Scotland
Black_bun,Ginger,Scotland
Black_bun,Zante_currant,Scotland
Black_bun,Raisin,Scotland
Black_bun,Black_pepper,Scotland
Black_bun,Zest_(ingredient),Scotland
Black_bun,Allspice,Scotland
Black_bun,Almond,Scotland
Apple_butter,Apple,Belgium
Apple_butter,Cider,Belgium
Sandesh_(confectionery),Condensed_milk,Bangladesh
Sandesh_(confectionery),Sugar,Bangladesh
Sandesh_(confectionery),Jaggery,Bangladesh
Sandesh_(confectionery),Paneer,Bangladesh
Scotch_pie,Lamb_and_mutton,Scotland
Scotch_pie,Hot_water_crust_pastry,Scotland
Banitsa,Flour,Bulgaria
Banitsa,Yogurt,Bulgaria
Banitsa,Water,Bulgaria
Banitsa,Sirene,Bulgaria
Banitsa,Egg_(food),Bulgaria
Damper_(food),Wheat_flour,Australia
Game_pie,Game_(hunting),Roman_Empire
Papza_Mogu,Butter,China
Papza_Mogu,Quark_(dairy_product),China
Papza_Mogu,Dough,China
Papza_Mogu,Brown_sugar,China
White_Christmas_(food),Coconut,Australia
White_Christmas_(food),Raisin,Australia
White_Christmas_(food),Rice_Krispies,Australia
White_Christmas_(food),Powdered_milk,Australia
White_Christmas_(food),Powdered_sugar,Australia
White_Christmas_(food),Candied_fruit,Australia
Cachupa,Bean,Cape_Verde
Cachupa,Beef,Cape_Verde
Cachupa,Meat,Cape_Verde
Cachupa,Fish,Cape_Verde
Cachupa,Chicken_(food),Cape_Verde
Cachupa,Goat_meat,Cape_Verde
Maghaz,Brain_(food),Bangladesh
Yi_mein,Egg_(food),China
Yi_mein,Wheat_flour,China
Shrimp_toast,Shrimp,China
Shrimp_toast,Bread,China
Shrimp_toast,Egg_(food),China
Shrimp_toast,Eleocharis_dulcis,China
Shengjian_mantou,Gelatin,China
Shengjian_mantou,Pork,China
Shotis_puri,Flour,Georgia_(country)
Suikerboon,Chocolate,Belgium
Suikerboon,Sugar,Belgium
Suikerboon,Almond,Belgium
Crab_in_oyster_sauce,Crab,China
Crab_in_oyster_sauce,Ginger,China
Crab_in_oyster_sauce,Scallion,China
Crab_in_oyster_sauce,Garlic,China
Crab_in_oyster_sauce,Oyster_sauce,China
Flapper_pie,Custard,Canada
Flapper_pie,Graham_cracker,Canada
Flapper_pie,Meringue,Canada
Rag_pudding,Suet,England
Rag_pudding,Onion,England
Rag_pudding,Minced_meat,England
Silver_needle_noodles,Rice_flour,China
Tareco,Sugar,Brazil
Tareco,Egg_(food),Brazil
Tareco,Wheat_flour,Brazil
Kochi_(kuih),Glutinous_rice,Brunei
Coconut_custard,Kabocha,Cambodia
Coconut_custard,Pumpkin,Cambodia
Calfs_liver_and_bacon,Bacon,England
Calfs_liver_and_bacon,Liver_(food),England
Calfs_liver_and_bacon,Bacon,Scotland
Calfs_liver_and_bacon,Liver_(food),Scotland
Donkey_Burger,Donkey,China
Donkey_Burger,Bread,China
Mandarin_roll,Sugar,China
Mandarin_roll,Water,China
Mandarin_roll,Shortening,China
Mandarin_roll,Powdered_milk,China
Mandarin_roll,Wheat_flour,China
Mandarin_roll,Soy_bean_oil,China
Sausage_sizzle,Sausage,Australia
Sausage_sizzle,Sliced_bread,Australia
Chasan_(pastry),Flour,China
Chasan_(pastry),Sesame_oil,China
Bermuda_fish_chowder,Stock_(food),Bermuda
Bermuda_fish_chowder,Fish_as_food,Bermuda
Bermuda_fish_chowder,Tomato_purée,Bermuda
Maple_syrup,Xylem,Canada
Maple_syrup,Acer_nigrum,Canada
Maple_syrup,Acer_rubrum,Canada
Yorkshire_pudding,Flour,England
Yorkshire_pudding,Milk,England
Yorkshire_pudding,Water,England
Yorkshire_pudding,Egg_(food),England
Balushahi,Clarified_butter,Bangladesh
Balushahi,Sugar,Bangladesh
Balushahi,Maida_flour,Bangladesh
Kedjenou,Guineafowl,Ivory_Coast
Kedjenou,Chicken_(food),Ivory_Coast
Zoervleis,Gingerbread,Belgium
Zoervleis,Meat,Belgium
Zoervleis,Vinegar,Belgium
Zoervleis,Apple_syrup,Belgium
Bob_chorba,Bean,Bulgaria
Bob_chorba,Spearmint,Bulgaria
Bob_chorba,Carrot,Bulgaria
Bob_chorba,Onion,Bulgaria
Bob_chorba,Summer_savory,Bulgaria
Bob_chorba,Tomato,Bulgaria
Claypot_chicken_rice,Chinese_sausage,China
Claypot_chicken_rice,Chicken,China
Claypot_chicken_rice,Rice,China
Olho-de-sogra,Coconut,Brazil
Olho-de-sogra,Plum,Brazil
Olho-de-sogra,Condensed_milk,Brazil
Olho-de-sogra,Sugar,Brazil
Olho-de-sogra,Yolk,Brazil
Stoemp,Potato,Belgium
Stoemp,Vegetable,Belgium
Elenski_but,Ham,Bulgaria
Stir-fried_tomato_and_scrambled_eggs,Sugar,China
Stir-fried_tomato_and_scrambled_eggs,Tomato,China
Stir-fried_tomato_and_scrambled_eggs,Salt,China
Stir-fried_tomato_and_scrambled_eggs,Cooking_oil,China
Stir-fried_tomato_and_scrambled_eggs,Egg_(food),China
Chapalele,Potato,Chile
Chapalele,Wheat_flour,Chile
Cumian,Wheat_flour,China
Hot_pot,Meat,China
Hot_pot,Seafood,China
Hot_pot,Dumpling,China
Hot_pot,Leaf_vegetable,China
Hot_pot,Edible_mushroom,China
Lotus_seed_bun,Lotus_seed,China
Shahe_fen,Rice,China
Crudos,Mayonnaise,Chile
Crudos,Yogurt,Chile
Crudos,Bread,Chile
Crudos,Onion,Chile
Crudos,Wikt:raw,Chile
Mohinga,Catfish,Burma
Mohinga,Fish_sauce,Burma
Mohinga,Ginger,Burma
Mohinga,Gram_flour,Burma
Mohinga,Garlic,Burma
Mohinga,Onion,Burma
Mohinga,Cymbopogon,Burma
Mohinga,Ngapi,Burma
Baked_Alaska,Ice_cream,China
Baked_Alaska,Christmas_pudding,China
Baked_Alaska,Sponge_cake,China
Baked_Alaska,Meringue,China
Shortbread,Butter,Scotland
Shortbread,Sugar,Scotland
Cullen_skink,Smoking_(cooking),Scotland
Cullen_skink,Onion,Scotland
Cullen_skink,Potato,Scotland
Curry_puff,Curry,Brunei
Curry_puff,Potato,Brunei
Curry_puff,Chicken_(food),Brunei
Parkin_(cake),Butter,England
Parkin_(cake),Flour,England
Parkin_(cake),Molasses,England
Parkin_(cake),Lard,England
Parkin_(cake),Oatmeal,England
Rocky_Mountain_oysters,Flour,Canada
Rocky_Mountain_oysters,Testicle_(food),Canada
Veda_bread,Wheat_flour,Northern_Ireland
Cawl,Meat,Wales
Cawl,Carrot,Wales
Cawl,Potato,Wales
Cawl,Rutabaga,Wales
Mozartkugel,Marzipan,Austria
Mozartkugel,Types_of_chocolate,Austria
Mozartkugel,Nougat,Austria
Douhua,Tofu,China
Liquorice_allsorts,Coconut,England
Liquorice_allsorts,Gelatin,England
Liquorice_allsorts,Sugar,England
Liquorice_allsorts,Anise,England
Liquorice_allsorts,Liquorice,England
Welsh_cake,Flour,Wales
Welsh_cake,Zante_currant,Wales
Welsh_cake,Raisin,Wales
Welsh_cake,Sultana_(grape),Wales
Kaymak,Water_buffalo,Bosnia_and_Herzegovina
Kaymak,Milk,Bosnia_and_Herzegovina
Kaymak,Water_buffalo,Bulgaria
Kaymak,Milk,Bulgaria
Malidzano,Spice,Macedonia_(region)
Malidzano,Sirene,Macedonia_(region)
Malidzano,Walnut,Macedonia_(region)
Malidzano,Eggplant,Macedonia_(region)
Maple_liqueur,Maple_syrup,Canada
Jelly_slice,Custard,Australia
Jelly_slice,Gelatin_dessert,Australia
Placenta_cake,Bay_leaf,Roman_Empire
Placenta_cake,Honey,Roman_Empire
Placenta_cake,Cheese,Roman_Empire
Placenta_cake,Semolina,Roman_Empire
Chatang,Sorghum,China
Chatang,Proso_millet,China
Lobio,Bean,Georgia_(country)
Lobio,Coriander,Georgia_(country)
Lobio,Garlic,Georgia_(country)
Lobio,Onion,Georgia_(country)
Lobio,Walnut,Georgia_(country)
Luchi,Maida_flour,Bangladesh
White_sugar_sponge_cake,Sugar,China
White_sugar_sponge_cake,Water,China
White_sugar_sponge_cake,Rice_flour,China
White_sugar_sponge_cake,Leavening_agent,China
Dovga,Flour,Azerbaijan
Dovga,Yogurt,Azerbaijan
Dovga,Mentha,Azerbaijan
Dovga,Rice,Azerbaijan
Dovga,Coriander,Azerbaijan
Dovga,Dill,Azerbaijan
Dovga,Spinach,Azerbaijan
Dovga,Egg_(food),Azerbaijan
Barley_gruel,Alkali,China
Barley_gruel,Rice,China
Barley_gruel,Barley,China
Bakkwa,Dried_meat,China
Cha_siu_bao,Pork,China
Ema_datshi,Chili_pepper,Bhutan
Ema_datshi,Cheese,Bhutan
Mooncake,Lard,China
Mooncake,Red_bean_paste,China
Mooncake,Vegetable_oil,China
Mooncake,Lotus_seed_paste,China
Nasi_lemak,Cucumber,Brunei
Nasi_lemak,Coconut_milk,Brunei
Bosnian_Pot,Meat,Bosnia_and_Herzegovina
Bosnian_Pot,Carrot,Bosnia_and_Herzegovina
Bosnian_Pot,Garlic,Bosnia_and_Herzegovina
Bosnian_Pot,Potato,Bosnia_and_Herzegovina
Bosnian_Pot,Tomato,Bosnia_and_Herzegovina
Bosnian_Pot,Black_pepper,Bosnia_and_Herzegovina
Bosnian_Pot,Lamb_and_mutton,Bosnia_and_Herzegovina
Bosnian_Pot,Vegetable,Bosnia_and_Herzegovina
Bosnian_Pot,Parsley,Bosnia_and_Herzegovina
Stargazy_pie,Sardine,England
Yakisoba,Noodle,China
Yakisoba,Worcestershire_sauce,China
Yakisoba,Carrot,China
Yakisoba,Onion,China
Yakisoba,Pork,China
Yakisoba,Vegetable,China
Beef_noodle_soup,Beef,China
Beef_noodle_soup,Chinese_noodles,China
Beef_noodle_soup,Vegetable,China
Gugelhupf,Kirsch,Austria
Gugelhupf,Bakers_yeast,Austria
Gugelhupf,Almond,Austria
Macaroon,Egg_white,Belgium
Macaroon,Almond,Belgium
Lavash,Flour,Armenia
Lavash,Water,Armenia
Lavash,Salt,Armenia
Moussaka,Meat,Bosnia_and_Herzegovina
Moussaka,Potato,Bosnia_and_Herzegovina
Moussaka,Eggplant,Bosnia_and_Herzegovina
Moussaka,Meat,Bulgaria
Moussaka,Potato,Bulgaria
Moussaka,Eggplant,Bulgaria
Waterzooi,Cream,Belgium
Waterzooi,Broth,Belgium
Waterzooi,Fish,Belgium
Waterzooi,Chicken_(food),Belgium
Waterzooi,Yolk,Belgium
Ruske_kape,Coconut,Bosnia_and_Herzegovina
Ruske_kape,Chocolate,Bosnia_and_Herzegovina
Cajuzinho,Cashew,Brazil
Cajuzinho,Sugar,Brazil
Cajuzinho,Peanut,Brazil
Chotpoti,Chili_pepper,Bangladesh
Chotpoti,Chickpea,Bangladesh
Chotpoti,Onion,Bangladesh
Chotpoti,Potato,Bangladesh
Tofu_skin_roll,Vegetable,China
Tofu_skin_roll,Tofu,China
Pigs_organ_soup,Tongue,China
Pigs_organ_soup,Offal,China
Pigs_organ_soup,Celtuce,China
Pigs_organ_soup,Blood_as_food,China
Hasma,Fallopian_tube,China
Pamonha,Sweet_corn,Brazil
Pamonha,Milk,Brazil
Baklava,Nut_(fruit),Ottoman_Empire
Baklava,Filo,Ottoman_Empire
Noghl,Rose_water,Afghanistan
Noghl,Sugar,Afghanistan
Noghl,Water,Afghanistan
Noghl,Nut_(fruit),Afghanistan
Noghl,Almond,Afghanistan
Chickpea_noghl,Rose_water,Afghanistan
Chickpea_noghl,Sugar,Afghanistan
Chickpea_noghl,Water,Afghanistan
Chickpea_noghl,Chickpea,Afghanistan
Tanghulu,Syrup,China
Tanghulu,Chocolate,China
Tanghulu,Sprinkles,China
Tanghulu,Candied_fruit,China
Har_gow,Soy_sauce,China
Har_gow,Scallion,China
Har_gow,Corn_starch,China
Har_gow,Shrimp,China
Har_gow,Bamboo_shoot,China
Har_gow,Sesame_oil,China
Ambuyat,Sago,Brunei
Maple_slaw,Cabbage,Canada
Maple_slaw,Maple_syrup,Canada
Maple_slaw,Onion,Canada
Maple_slaw,Fish,Canada
Wenchang_chicken,Chicken_(food),China
Gozinaki,Honey,Georgia_(country)
Gozinaki,Nut_(fruit),Georgia_(country)
Bridie,Butter,Scotland
Bridie,Suet,Scotland
Bridie,Mincing,Scotland
Sour_rye_soup,Bacon,Belarus
Sour_rye_soup,Sausage,Belarus
Sour_rye_soup,Ham,Belarus
Sour_rye_soup,Fermentation_in_food_processing,Belarus
Wagon_Wheels,Marshmallow,Australia
Wagon_Wheels,Chocolate,Australia
Wagon_Wheels,Marshmallow,Canada
Wagon_Wheels,Chocolate,Canada
Egg_drop_soup,Scallion,China
Egg_drop_soup,Broth,China
Egg_drop_soup,Black_pepper,China
Egg_drop_soup,Egg_(food),China
Egg_drop_soup,Tofu,China
Peabutter,Pea,Canada
Malapua_(dessert),Coconut,Bangladesh
Malapua_(dessert),Flour,Bangladesh
Malapua_(dessert),Sugar,Bangladesh
Malapua_(dessert),Rice_flour,Bangladesh
Buttery_(bread),Butter,Scotland
Buttery_(bread),Flour,Scotland
Buttery_(bread),Lard,Scotland
Buttery_(bread),Bakers_yeast,Scotland
Buttery_(bread),Vegetable_oil,Scotland
Singing_hinny,Butter,England
Singing_hinny,Flour,England
Singing_hinny,Zante_currant,England
Singing_hinny,Milk,England
Singing_hinny,Lard,England
Singing_hinny,Baking_powder,England
Singing_hinny,Buttermilk,England
Tartiflette,Onion,Savoy
Tartiflette,Potato,Savoy
Tartiflette,Reblochon,Savoy
Tartiflette,Lardon,Savoy
Zongzi,Bamboo,China
Zongzi,Reed_(plant),China
Zongzi,Glutinous_rice,China
Huangqiao_Sesame_Cake,Caramel,China
Huangqiao_Sesame_Cake,Flour,China
Huangqiao_Sesame_Cake,Alkali,China
Huangqiao_Sesame_Cake,Onion,China
Huangqiao_Sesame_Cake,Lard,China
Huangqiao_Sesame_Cake,Pork,China
Huangqiao_Sesame_Cake,Salt,China
Huangqiao_Sesame_Cake,Bakers_yeast,China
Huangqiao_Sesame_Cake,Sesame,China
Nuomici,Coconut,China
Nuomici,Glutinous_rice,China
Bao_yu,Abalone,China
Chakhchoukha,Semolina,Algeria
Dundee_cake,Zante_currant,Scotland
Dundee_cake,Sultana_(grape),Scotland
Dundee_cake,Almond,Scotland
Fish_head_casserole,Fish_head,China
Cozonac,Butter,Bulgaria
Cozonac,Milk,Bulgaria
Cozonac,Sugar,Bulgaria
Cozonac,Vanilla,Bulgaria
Cozonac,Raisin,Bulgaria
Cozonac,Hazelnut,Bulgaria
Cozonac,Turkish_delight,Bulgaria
Cozonac,Egg_(food),Bulgaria
Cozonac,Walnut,Bulgaria
Cozonac,Zest_(ingredient),Bulgaria
Cozonac,Rum,Bulgaria
Cozonac,Wheat_flour,Bulgaria
Sandwiches_de_miga,Bell_pepper,Argentina
Sandwiches_de_miga,White_bread,Argentina
Sandwiches_de_miga,Ham,Argentina
Sandwiches_de_miga,Cheese,Argentina
Sandwiches_de_miga,Lettuce,Argentina
Sandwiches_de_miga,Tomato,Argentina
Sandwiches_de_miga,Egg_(food),Argentina
Ajika,Capsicum,Abkhazia
Ajika,Spice,Abkhazia
Ajika,Garlic,Abkhazia
Ajika,Salt,Abkhazia
Ajika,Walnut,Abkhazia
Ajika,Herb,Abkhazia
Egg_tong_sui,Sugar,China
Egg_tong_sui,Egg_(food),China
Machas_a_la_parmesana,Parmigiano-Reggiano,Chile
Ajapsandali,Bell_pepper,Georgia_(country)
Ajapsandali,Seasoning,Georgia_(country)
Ajapsandali,Potato,Georgia_(country)
Ajapsandali,Tomato,Georgia_(country)
Ajapsandali,Eggplant,Georgia_(country)
Malida,Butter,Afghanistan
Malida,Milk,Afghanistan
Malida,Ground_cardamom_seed,Afghanistan
Malida,Semolina,Afghanistan
Malida,Almond,Afghanistan
Malida,Pistachio,Afghanistan
Malida,Wheat_flour,Afghanistan
Malida,Khoa,Afghanistan
Caozaiguo,Glutinous_rice,China
Caozaiguo,Gnaphalium_affine,China
Clootie,Flour,Scotland
Clootie,Suet,Scotland
Clootie,Milk,Scotland
Clootie,Sugar,Scotland
Clootie,Dried_fruit,Scotland
Clootie,Bread_crumbs,Scotland
Jau_gok,Glutinous_rice,China
Qutab,Beef,Azerbaijan
Qutab,Leek,Azerbaijan
Roast_goose,Goose,China
Sanchuisanda,Wheat_flour,China
Tea_loaf,Cinnamon,England
Tea_loaf,Fruit,England
Tea_loaf,Spice,England
Touton,Butter,Canada
Guilinggao,Chinese_herbology,China
Guilinggao,Turtle_shell,China
Murta_con_membrillo,Sugar,Chile
Murta_con_membrillo,Quince,Chile
Steak_and_oyster_pie,Beef,England
Steak_and_oyster_pie,Oyster,England
Canjica_(dish),Cinnamon,Brazil
Canjica_(dish),Milk,Brazil
Canjica_(dish),Sugar,Brazil
Canjica_(dish),Canjica,Brazil
Gulab_jamun,Saffron,Bangladesh
Gulab_jamun,Khoa,Bangladesh
Soy_sauce_chicken,Soy_sauce,China
Soy_sauce_chicken,Chicken,China
Mote_con_huesillo,Cinnamon,Chile
Mote_con_huesillo,Honey,Chile
Mote_con_huesillo,Sugar,Chile
Mote_con_huesillo,Water,Chile
Mote_con_huesillo,Wheat,Chile
Mote_con_huesillo,Peach,Chile
Persian_(roll),Icing_(food),Canada
Pie_floater,Pea_soup,Australia
Pie_floater,Meat_pie_(Australia_and_New_Zealand),Australia
Raita,Yogurt,Bangladesh
Raita,Mentha,Bangladesh
Raita,Cucumber,Bangladesh
Garash_cake,Walnut,Bulgaria
Garash_cake,Egg_white,Bulgaria
Garash_cake,Powdered_sugar,Bulgaria
Malt_loaf,Malt,Scotland
Samlar_machu,Tamarind,Cambodia
Samlar_machu,Vegetable,Cambodia
Dushbara,Flour,Azerbaijan
Dushbara,Onion,Azerbaijan
Dushbara,Tomato,Azerbaijan
Dushbara,Ground_beef,Azerbaijan
Dushbara,Salt,Azerbaijan
Dushbara,Black_pepper,Azerbaijan
Dushbara,Herb,Azerbaijan
Vark,Gold,Bangladesh
Vark,Silver,Bangladesh
Brigadeiro,Butter,Brazil
Brigadeiro,Condensed_milk,Brazil
Brigadeiro,Chocolate_powder,Brazil
Fairy_bread,Butter,Australia
Fairy_bread,White_bread,Australia
Fairy_bread,Sprinkles,Australia
Fairy_bread,Margarine,Australia
Fairy_bread,Nonpareils,Australia
Mantou,Water,China
Mantou,Leavening_agent,China
Mantou,Wheat_flour,China
Sachertorte,Chocolate,Austria
Sachertorte,Types_of_chocolate,Austria
Sachertorte,Apricot,Austria
Butter_tart,Butter,Canada
Butter_tart,Sugar,Canada
Butter_tart,Raisin,Canada
Butter_tart,Egg_(food),Canada
Cranachan,Honey,Scotland
Cranachan,Whisky,Scotland
Cranachan,Whipped_cream,Scotland
Cranachan,Raspberry,Scotland
Cranachan,Oatmeal,Scotland
Deep-fried_Mars_bar,Mars_(chocolate_bar),Scotland
Deep-fried_Mars_bar,Batter_(cooking),Scotland
Red_pudding,Bacon,Scotland
Red_pudding,Suet,Scotland
Red_pudding,Fat,Scotland
Red_pudding,Beef,Scotland
Red_pudding,Spice,Scotland
Red_pudding,Pork,Scotland
Red_pudding,Pork_rind,Scotland
Red_pudding,Wheat_flour,Scotland
Red_pudding,Rusk,Scotland
Speculoos,Cardamom,Belgium
Speculoos,Cinnamon,Belgium
Speculoos,Clove,Belgium
Speculoos,Flour,Belgium
Speculoos,Ginger,Belgium
Speculoos,Nutmeg,Belgium
Speculoos,Black_pepper,Belgium
Bumbleberry_pie,Berry,Canada
