Food,ingr1,ingr2,ingr3,ingr4,ingr5,ingr6,ingr7,ingr8,ingr9,ingr10,ingr11,ingr12,ingr13,ingr14,ingr15,ingr16,ingr17,ingr18,ingr19,ingr20,Origin
Harira,Flour,Chicken,Meat,Olive_oil,Rice,Chickpea,Lentil,Onion,Tomato,Lamb_and_mutton,?,?,?,?,?,?,?,?,?,?,Other_region
Cellophane_noodles,Canna_(plant),Cassava,Starch,Yam_(vegetable),Potato_starch,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kheer,Cardamom,Milk,Rice,Almond,Pistachio,Saffron,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chocolate_crackles,Desiccation,Rice_Krispies,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cremeschnitte,Custard,Puff_pastry,Vanilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Lo_mai_gai,Shiitake,Scallion,Chinese_sausage,Shrimp,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Rice_vermicelli,Rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Rousong,Pork,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chorley_cake,Shortcrust_pastry,Raisin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Couscous,Semolina,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
French_fries,Potato,Cooking_oil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ulmyeon,Noodle,Agaricus_bisporus,Corn_starch,Shrimp,Seafood,Squid,Carrot,Broth,Egg_(food),Vegetable,Cuttlefish,?,?,?,?,?,?,?,?,?,Other_region
Apple_strudel,Butter,Flour,Oil,Apple,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Haleem,Meat,Wheat,Barley,Lentil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Popiah,Turnip,Chinese_sausage,Carrot,Lettuce,Bean_sprout,Egg_(food),Green_bean,Pachyrhizus_erosus,Tofu,?,?,?,?,?,?,?,?,?,?,?,Other_region
Quindim,Coconut,Sugar,Yolk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Wonton,Scallion,Dough,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Black_sesame_roll,Sesame,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Gosh-e_Fil,Pistachio,Powdered_sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Muktagachar_monda,Condensed_milk,Jaggery,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pantruca,Flour,Water,Oil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pitha,Rice_flour,Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chinese_sausage,Pork,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Montreal-style_smoked_meat,Rye_bread,Smoked_meat,Mustard_(condiment),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Northern_America
Rappie_pie,Meat,Seafood,Onion,Potato,Pork,Broth,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Northern_America
Tenshindon,Rice,Egg_(food),Crab_meat,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Steak_frites,Potato,Steak,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Panta_bhat,Rice,Water,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Sher_Berinj,Rose_water,Almond,Pistachio,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Carbonade_flamande,Bay_leaf,Beer,Beef,Thyme,Onion,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mont_di,Daggertooth_pike_conger,Cymbopogon,Ngapi,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Flipper_pie,Harp_seal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Northern_America
Kabuni,Butter,Cinnamon,Rice,Sugar,Raisin,Endgame_(play),?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Quibeibe,Cucurbita,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Empire_biscuit,Icing_(food),Fruit_preserves,Candied_fruit,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Hainanese_chicken_rice,Chicken,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kopytka,Bacon,Flour,Cheese,Onion,Potato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tomato_and_egg_soup,Scallion,Tomato,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chacarero,Bread,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Coconut_doughnut,Coconut,Doughnut,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Northern_America
Linzer_torte,Butter,Cinnamon,Flour,Redcurrant,Nut_(fruit),Walnut,Zest_(ingredient),Almond,Yolk,?,?,?,?,?,?,?,?,?,?,?,Other_region
Lou_mei,Offal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Banana_roll,Glutinous_rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Jiaozi,Ground_meat,Dough,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Leblebi,Chickpea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Rou_jia_mo,Pork,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Sabaayad,Flour,Water,Salt,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Zhaliang,Youtiao,Rice_noodle_roll,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Khow_suey,Curry,Coconut_milk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Maple_leaf_cream_cookies,Maple_syrup,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Northern_America
Paila_marina,Shellfish,Seafood,Spice,Fish_as_food,Herb,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Black_bun,Cinnamon,Ginger,Zante_currant,Raisin,Black_pepper,Zest_(ingredient),Allspice,Almond,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Apple_butter,Apple,Cider,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Sandesh_(confectionery),Condensed_milk,Sugar,Jaggery,Paneer,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Scotch_pie,Lamb_and_mutton,Hot_water_crust_pastry,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Banitsa,Flour,Yogurt,Water,Sirene,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Damper_(food),Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Game_pie,Game_(hunting),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Papza_Mogu,Butter,Quark_(dairy_product),Dough,Brown_sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
White_Christmas_(food),Coconut,Raisin,Rice_Krispies,Powdered_milk,Powdered_sugar,Candied_fruit,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cachupa,Bean,Beef,Meat,Fish,Chicken_(food),Goat_meat,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Maghaz,Brain_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Yi_mein,Egg_(food),Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Shrimp_toast,Shrimp,Bread,Egg_(food),Eleocharis_dulcis,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Shengjian_mantou,Gelatin,Pork,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Shotis_puri,Flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Suikerboon,Chocolate,Sugar,Almond,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Crab_in_oyster_sauce,Crab,Ginger,Scallion,Garlic,Oyster_sauce,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Flapper_pie,Custard,Graham_cracker,Meringue,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Northern_America
Rag_pudding,Suet,Onion,Minced_meat,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Silver_needle_noodles,Rice_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tareco,Sugar,Egg_(food),Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kochi_(kuih),Glutinous_rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Coconut_custard,Kabocha,Pumpkin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Calfs_liver_and_bacon,Bacon,Liver_(food),Bacon,Liver_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Donkey_Burger,Donkey,Bread,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mandarin_roll,Sugar,Water,Shortening,Powdered_milk,Wheat_flour,Soy_bean_oil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Sausage_sizzle,Sausage,Sliced_bread,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chasan_(pastry),Flour,Sesame_oil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bermuda_fish_chowder,Stock_(food),Fish_as_food,Tomato_purée,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Maple_syrup,Xylem,Acer_nigrum,Acer_rubrum,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Northern_America
Yorkshire_pudding,Flour,Milk,Water,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Balushahi,Clarified_butter,Sugar,Maida_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kedjenou,Guineafowl,Chicken_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Zoervleis,Gingerbread,Meat,Vinegar,Apple_syrup,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bob_chorba,Bean,Spearmint,Carrot,Onion,Summer_savory,Tomato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Claypot_chicken_rice,Chinese_sausage,Chicken,Rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Olho-de-sogra,Coconut,Plum,Condensed_milk,Sugar,Yolk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Stoemp,Potato,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Elenski_but,Ham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Stir-fried_tomato_and_scrambled_eggs,Sugar,Tomato,Salt,Cooking_oil,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chapalele,Potato,Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cumian,Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Hot_pot,Meat,Seafood,Dumpling,Leaf_vegetable,Edible_mushroom,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Lotus_seed_bun,Lotus_seed,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Shahe_fen,Rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Crudos,Mayonnaise,Yogurt,Bread,Onion,Wikt:raw,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mohinga,Catfish,Fish_sauce,Ginger,Gram_flour,Garlic,Onion,Cymbopogon,Ngapi,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Baked_Alaska,Ice_cream,Christmas_pudding,Sponge_cake,Meringue,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Shortbread,Butter,Sugar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cullen_skink,Smoking_(cooking),Onion,Potato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Curry_puff,Curry,Potato,Chicken_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Parkin_(cake),Butter,Flour,Molasses,Lard,Oatmeal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Rocky_Mountain_oysters,Flour,Testicle_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Northern_America
Veda_bread,Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cawl,Meat,Carrot,Potato,Rutabaga,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mozartkugel,Marzipan,Types_of_chocolate,Nougat,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Douhua,Tofu,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Liquorice_allsorts,Coconut,Gelatin,Sugar,Anise,Liquorice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Welsh_cake,Flour,Zante_currant,Raisin,Sultana_(grape),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Kaymak,Water_buffalo,Milk,Water_buffalo,Milk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Malidzano,Spice,Sirene,Walnut,Eggplant,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Maple_liqueur,Maple_syrup,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Northern_America
Jelly_slice,Custard,Gelatin_dessert,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Placenta_cake,Bay_leaf,Honey,Cheese,Semolina,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chatang,Sorghum,Proso_millet,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Lobio,Bean,Coriander,Garlic,Onion,Walnut,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Luchi,Maida_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
White_sugar_sponge_cake,Sugar,Water,Rice_flour,Leavening_agent,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Dovga,Flour,Yogurt,Mentha,Rice,Coriander,Dill,Spinach,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Barley_gruel,Alkali,Rice,Barley,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bakkwa,Dried_meat,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cha_siu_bao,Pork,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ema_datshi,Chili_pepper,Cheese,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Mooncake,Lard,Red_bean_paste,Vegetable_oil,Lotus_seed_paste,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Nasi_lemak,Cucumber,Coconut_milk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bosnian_Pot,Meat,Carrot,Garlic,Potato,Tomato,Black_pepper,Lamb_and_mutton,Vegetable,Parsley,?,?,?,?,?,?,?,?,?,?,?,Other_region
Stargazy_pie,Sardine,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Yakisoba,Noodle,Worcestershire_sauce,Carrot,Onion,Pork,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Beef_noodle_soup,Beef,Chinese_noodles,Vegetable,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Gugelhupf,Kirsch,Bakers_yeast,Almond,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Macaroon,Egg_white,Almond,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Lavash,Flour,Water,Salt,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Moussaka,Meat,Potato,Eggplant,Meat,Potato,Eggplant,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Waterzooi,Cream,Broth,Fish,Chicken_(food),Yolk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ruske_kape,Coconut,Chocolate,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cajuzinho,Cashew,Sugar,Peanut,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chotpoti,Chili_pepper,Chickpea,Onion,Potato,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tofu_skin_roll,Vegetable,Tofu,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pigs_organ_soup,Tongue,Offal,Celtuce,Blood_as_food,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Hasma,Fallopian_tube,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Pamonha,Sweet_corn,Milk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Baklava,Nut_(fruit),Filo,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Noghl,Rose_water,Sugar,Water,Nut_(fruit),Almond,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chickpea_noghl,Rose_water,Sugar,Water,Chickpea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tanghulu,Syrup,Chocolate,Sprinkles,Candied_fruit,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Har_gow,Soy_sauce,Scallion,Corn_starch,Shrimp,Bamboo_shoot,Sesame_oil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ambuyat,Sago,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Maple_slaw,Cabbage,Maple_syrup,Onion,Fish,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Northern_America
Wenchang_chicken,Chicken_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Gozinaki,Honey,Nut_(fruit),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bridie,Butter,Suet,Mincing,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Sour_rye_soup,Bacon,Sausage,Ham,Fermentation_in_food_processing,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Wagon_Wheels,Marshmallow,Chocolate,Marshmallow,Chocolate,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Egg_drop_soup,Scallion,Broth,Black_pepper,Egg_(food),Tofu,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Peabutter,Pea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Northern_America
Malapua_(dessert),Coconut,Flour,Sugar,Rice_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Buttery_(bread),Butter,Flour,Lard,Bakers_yeast,Vegetable_oil,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Singing_hinny,Butter,Flour,Zante_currant,Milk,Lard,Baking_powder,Buttermilk,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tartiflette,Onion,Potato,Reblochon,Lardon,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Zongzi,Bamboo,Reed_(plant),Glutinous_rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Huangqiao_Sesame_Cake,Caramel,Flour,Alkali,Onion,Lard,Pork,Salt,Bakers_yeast,Sesame,?,?,?,?,?,?,?,?,?,?,?,Other_region
Nuomici,Coconut,Glutinous_rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Bao_yu,Abalone,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Chakhchoukha,Semolina,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Dundee_cake,Zante_currant,Sultana_(grape),Almond,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Fish_head_casserole,Fish_head,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Cozonac,Butter,Milk,Sugar,Vanilla,Raisin,Hazelnut,Turkish_delight,Egg_(food),Walnut,Zest_(ingredient),Rum,Wheat_flour,?,?,?,?,?,?,?,?,Other_region
Sandwiches_de_miga,Bell_pepper,White_bread,Ham,Cheese,Lettuce,Tomato,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ajika,Capsicum,Spice,Garlic,Salt,Walnut,Herb,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Egg_tong_sui,Sugar,Egg_(food),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Machas_a_la_parmesana,Parmigiano-Reggiano,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Ajapsandali,Bell_pepper,Seasoning,Potato,Tomato,Eggplant,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Malida,Butter,Milk,Ground_cardamom_seed,Semolina,Almond,Pistachio,Wheat_flour,Khoa,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Caozaiguo,Glutinous_rice,Gnaphalium_affine,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Clootie,Flour,Suet,Milk,Sugar,Dried_fruit,Bread_crumbs,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Jau_gok,Glutinous_rice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Qutab,Beef,Leek,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Roast_goose,Goose,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Sanchuisanda,Wheat_flour,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Tea_loaf,Cinnamon,Fruit,Spice,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Touton,Butter,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Northern_America
Guilinggao,Chinese_herbology,Turtle_shell,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Murta_con_membrillo,Sugar,Quince,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Steak_and_oyster_pie,Beef,Oyster,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Canjica_(dish),Cinnamon,Milk,Sugar,Canjica,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Gulab_jamun,Saffron,Khoa,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
Soy_sauce_chicken,Soy_sauce,Chicken,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Other_region
